;1;Ibizan Hound;Поденко ибиценко
;1;Icelandic Sheepdog;Исландская собака
;1;Irish Red and White Setter;Ирландский красно-белый сеттер
;1;Irish Setter;Ирландский  сеттер
;1;Irish Terrier;Ирландский терьер
;1;Irish Water Spaniel;Ирландский водяной спаниель
;1;Irish Wolfhound;Ирландский волкодав
;1;Italian Greyhound;Левретка
;1;Jack Russell Terrier;Джек Рассел терьер
;1;Jagdterrier;Ягдтерьер
;1;Japanese Chin;Японский хин
;1;Keeshond;Кеесхонд
;1;Kerry Blue Terrier;Керри-блю-терьер
;1;Komondor;Комондор
;1;Kooikerhondje;Коикерхондье
;1;Korean Jindo Dog;Корейский чиндо
;1;Kuvasz;Кувас
;1;Labradoodle;метис
;1;Labrador Retriever;Лабрадор-ретривер
;1;Laika;Лайка
;1;Lakeland Terrier;Лейкленд-терьер
;1;Lancashire Heeler;Ланкаширский хилер
;1;Landseer dog;Ландсир
;1;Leonberger;Леонбергер
;1;Lhasa Apso;Лхасский апсо
;1;Lowchen;Малая львиная собака
;1;Maltese;Мальтезе (Мальтийская болонка)
;1;Maltese Shih Tzu;метис
;1;Maltipoo;метис
;1;Manchester Terrier;Манчестер-терьер
;1;Maremma Sheepdog;Мареммо-абруццкая овчарка
;1;Mastiff;Английский мастиф
;1;Mini Bull Terrier;Бультерьер миниатюрный
;1;Miniature Pinscher;Карликовый пинчер
;1;Miniature Schnauzer;Цвергшнауцер
;1;Moscow Watchdog;Московская сторожевая
;1;Mutt;метис
;1;Mongrel;Дворянин
;1;Peterburg Orchid;Орхидея петербургская
;1;Neapolitan Mastiff;Мастино наполетано 
;1;Newfoundland;Ньюфаундленд
;1;Norfolk Terrier;Норфолк терьер
;1;Norwegian Buhund;Норвежский бухунд
;1;Norwegian Elkhound;Норвежский серый элкхунд
;1;Norwegian Elkhound;Норвежский элькхунд
;1;Norwegian Lundehund;Норвежский лундехунд
;1;Norwich Terrier;Норвич терьер
;1;Nova Scotia Duck Tolling Retriever;Новошотландский ретривер
;1;Old English Sheepdog;Бобтейл
;1;Otterhound;Оттерхаунд
;1;Papillon;Папильон
;1;Parson Russell Terrier;Парсон рассел терьер
;1;Peekapoo;метис
;1;Pekingese;Пекинес
;1;Pembroke Welsh Corgi;Вельш корги пемброк 
;1;Perro de Presa Canario;Канарский дог
;1;Peruvian Hairless Dog;Перуанская голая собака
;1;Petit Basset Griffon Vendeen;Малый Вандейский бассет-гриффон
;1;Petit Brabancon;Пти-брабансон
;1;Pharaoh Hound;Фараонова собака
;1;Pocket Beagle;Бигль
;1;Pointer;Пойнтер 
;1;Polish Hunting Dog;Польская гончая
;1;Polish Lowland Sheepdog;Польская низинная овчарка
;1;Polish Tatra Sheepdog;Польская подгалянская овчарка
;1;Pomeranian;Померанский шпиц
;1;Pomsky;метис
;1;Poodle;Пудель
;1;Portuguese Podengo;Португальский поденгу
;1;Portuguese Water Dog;Португальская водяная собака
;1;Pražský Krysařík;Пражский крысарик
;1;Pug;Мопс
;1;Puggle;метис
;1;Puli;Пули
;1;Pyrenean Mastiff;Пиренейский мастиф
;1;Pyrenean Shepherd;Пиренейская овчарка
;1;Rat Terrier;Крысиный терьер
;1;Redbone Coonhound;Красный кунхаунд
;1;Rhodesian Ridgeback;Риджбек родезийский
;1;Rottweiler;Ротвейлер
;1;Saint Bernard;Сенбернар
;1;Saluki;Салюки
;1;Samoyed;Самоедская собака
;1;Sarplaninac;Шарпланинская овчарка
;1;Schipperke;Шипперке
;1;Schnoodle;метис
;1;Scottish Deerhound;Дирхаунд
;1;Scottish Terrier;Скотч-терьер
;1;Sealyham Terrier;Силихем-терьер
;1;Shetland Sheepdog;Шелти
;1;Shiba Inu;Сиба Ину
;1;Shih Tzu;Ши-тцу
;1;Silky Terrier;Австралийский шелковистый терьер
;1;Skye Terrier;Скай-терьер
;1;Sloughi;Слюги
